unit;airpol;airemsect;geo\time;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
MIO_T;GHG;CRF1;RO;76.72369;77.43731;86.9939;88.20907;83.38911;89.20183;101.26781;102.40683;105.62706;102.76178;105.39311;109.39908;105.82534;108.20327;100.77671;95.62734;110.30818;127.74458;137.31361;133.45708;129.93922;132.50831;142.05636;153.39633;185.00471;220.00816;;;;
MIO_T;GHG;CRF1;SE;39.28529;40.73202;42.32485;44.72712;48.59056;44.44693;46.34182;48.21736;49.16108;49.28932;51.70457;52.86874;51.91485;51.11185;50.22573;51.69099;54.67622;54.16266;59.23495;54.9511;55.77323;53.67148;53.83777;53.73381;53.14881;;;;;
MIO_T;GHG;CRF1;SI;13.25413;15.03701;15.77651;16.33341;16.33095;16.26796;17.82592;16.80383;16.68545;16.51723;16.28202;15.94506;16.21592;16.1487;15.30082;15.20952;15.89537;16.19409;15.86224;15.146;14.46027;14.26499;13.7676;13.76593;14.65056;15.36669;15.41157;15.78419;16.38323;
MIO_T;GHG;CRF1;SK;27.02914;29.47416;29.635;32.09492;32.59794;32.00197;34.87887;33.95586;35.62425;36.58141;36.14256;36.54851;35.57338;38.66062;36.44208;37.48443;38.11475;39.43071;39.62978;39.47007;39.2449;41.89531;45.78832;50.01708;56.57215;;;;;
MIO_T;GHG;CRF1;TR;339.10468;310.03719;321.31516;298.16317;286.0493;280.88939;295.3109;306.11552;275.22775;252.652;229.17681;219.12934;205.96248;198.3032;214.36482;187.39307;187.69576;188.10633;175.23187;160.05486;147.00447;150.4891;142.62387;136.64161;132.47727;;;;;
MIO_T;GHG;CRF1;UK;425.36896;466.50409;478.15324;458.16693;500.25085;483.33019;529.26101;541.31447;552.34172;553.81311;557.29733;557.90514;549.70819;566.58065;556.75943;549.72105;559.5862;557.90469;583.10532;564.31924;572.50755;587.22525;602.81474;618.71846;608.00914;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;AT;76.33262;80.04254;79.89712;82.62664;84.94602;80.19065;87.10113;87.24115;89.98102;92.81049;91.83589;92.01848;86.12955;84.38081;80.42934;80.10672;81.77084;82.47439;83.00881;79.81303;76.50349;75.98823;75.931;82.6369;78.84463;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;BE;113.86662;119.3753;118.76134;122.8334;133.25841;125.8118;138.74963;136.45134;141.04671;144.80308;148.9714;147.57907;147.24037;147.62613;149.21302;148.06244;154.34039;149.16346;157.65669;154.02029;151.88237;147.39339;148.38473;148.8257;146.02124;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;BG;57.19722;54.94607;60.03046;65.09585;59.82046;57.08813;65.9876;67.24422;63.33133;62.65349;62.38052;63.40776;58.52332;61.30357;58.26505;59.20714;65.96012;70.08555;73.60465;73.53135;72.19539;76.53332;77.75421;82.59836;104.04145;112.35866;114.57779;;;
MIO_T;GHG;CRF1-6X4_MEMO;CH;48.60524;52.50793;51.62609;50.28549;54.3629;52.76694;54.07593;52.54765;54.4747;54.85202;54.16847;53.53317;52.31456;53.90271;52.31388;53.03655;53.27922;51.67819;52.93451;52.20703;51.32783;52.33174;54.97513;55.25918;53.31419;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;CY;8.39432;7.96271;8.71297;9.23968;9.52065;9.82461;10.04638;9.87143;9.5288;9.27257;9.1429;8.91314;8.51762;8.28121;8.33878;8.07005;7.80918;7.48441;7.35717;7.06567;7.11784;6.8763;6.57365;6.13525;5.63801;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;CZ;123.6507;128.38978;132.31562;136.35676;137.68693;135.56959;144.00488;148.65372;147.81279;145.96701;148.16634;147.43308;144.04944;147.51514;147.99274;138.51273;147.45413;153.14595;157.04789;154.89215;154.46138;162.12051;169.98991;176.57067;195.3448;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;DE;900.20215;943.51978;924.7014;920.15148;939.37206;904.68852;972.14646;970.18603;997.15162;989.91579;1015.32359;1031.68497;1034.83524;1055.88474;1041.06382;1043.14685;1076.33816;1101.9043;1136.38419;1118.52258;1121.82182;1140.67495;1149.64294;1199.75381;1246.10147;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;DK;50.74777;55.00038;52.98289;57.86629;63.0471;62.64726;65.52968;69.13966;73.80506;65.99307;70.4079;76.46721;71.57279;71.85762;70.21121;74.69166;77.05513;81.13861;90.50133;77.46528;80.52838;76.45038;74.38104;80.14475;69.4465;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;EE;21.05924;21.67671;19.42333;20.48504;19.91168;16.18197;19.37462;20.81694;17.68647;18.29767;19.05549;18.78236;16.93009;17.47302;17.06185;17.3585;18.70582;20.26216;20.63175;19.93479;21.71316;21.00197;26.87648;36.79456;39.96517;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;EL;101.40331;104.66927;112.19178;115.68227;118.73329;124.80525;131.30928;134.96367;132.17727;136.03669;132.40031;131.77186;128.27869;128.36636;127.68769;124.57927;124.40549;118.79872;113.95862;110.81877;108.5155;105.6769;106.12882;104.8785;104.82711;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;ES;328.92628;327.44728;355.40861;360.35292;360.80016;371.49547;408.98197;440.08772;431.27364;438.47367;423.53457;407.68026;400.24052;382.20139;385.11873;368.92752;342.26599;332.1432;318.09341;325.66271;310.58935;294.26142;304.39832;295.17101;285.93377;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;EU15;3405.36715;3569.05653;3631.38936;3669.94909;3831.34575;3747.40858;4033.72186;4120.08505;4184.77865;4214.54563;4251.14483;4259.96693;4207.64544;4231.25731;4195.9642;4182.79328;4244.58694;4226.31459;4295.56517;4212.27615;4169.34009;4166.6707;4231.15306;4315.89997;4289.77348;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;EU28;4278.05225;4463.07762;4553.87623;4619.89487;4775.52926;4668.29877;5031.46129;5141.10573;5200.03632;5211.18597;5251.1016;5255.79344;5169.0475;5212.77866;5161.66859;5153.48485;5265.84571;5313.56201;5413.29963;5306.10825;5255.11372;5279.95094;5378.84053;5558.23656;5656.50416;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;EU28_IS_K;4286.11328;4470.68785;4561.45286;4627.57552;4783.47317;4676.41784;5039.94633;5149.36574;5207.83479;5218.33025;5258.1536;5262.71059;5176.11572;5219.7695;5168.89994;5160.87424;5273.17156;5320.53482;5420.04244;5312.67416;5261.56363;5286.4596;5385.30758;5564.77755;5663.23672;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;FI;59.02899;63.1966;62.32064;67.94708;75.83502;67.5753;71.21944;79.09633;80.61622;69.42657;81.30062;85.08258;77.6002;75.17139;69.85501;71.7554;72.37898;76.03833;77.44613;71.6443;75.18622;69.67595;67.42123;68.82385;71.077;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;FR;457.95035;485.4623;487.35347;485.90755;513.51415;505.52833;526.06282;532.77707;541.70737;553.38855;550.2677;552.89917;546.32088;552.45332;552.57289;556.54366;569.59994;553.49683;560.12789;545.22355;537.31033;538.24937;560.93275;572.1092;546.10082;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;HR;22.89888;23.77055;24.73465;26.77383;27.28023;27.90913;29.82595;30.97291;29.55568;29.28575;28.87598;28.78282;27.4201;26.39405;25.17296;25.51908;24.45971;24.12627;22.88296;22.29617;21.71276;22.65829;22.53803;24.40868;31.20463;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;HU;57.22516;57.55383;60.1069;63.80801;65.52369;65.08292;71.34037;73.09162;74.88031;75.93328;76.12647;77.1924;74.15358;75.67935;73.55669;76.6105;76.06706;76.55381;78.01596;75.70578;77.02612;78.13489;77.31217;87.30107;94.13397;101.6951;104.85055;109.42228;108.86152;110.64811
MIO_T;GHG;CRF1-6X4_MEMO;IE;58.18915;58.48161;58.6228;58.1303;62.23515;62.78698;68.3736;68.99546;69.71462;70.32121;68.85575;69.54065;69.29262;71.31479;69.25135;67.06422;65.92127;63.43253;61.9195;59.79107;58.36888;57.08363;56.80911;56.82569;56.08784;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;IS;4.59685;4.53466;4.5504;4.52022;4.73035;4.85577;5.14034;4.71482;4.45403;3.89769;3.94012;3.91859;3.9369;3.91135;3.96277;3.98085;3.75477;3.61086;3.47218;3.389;3.32837;3.39256;3.34199;3.46344;3.63356;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;IT;418.58721;438.88737;468.71792;494.78958;508.4241;498.89466;549.45273;561.13759;569.0548;578.90444;580.72558;578.12637;561.88795;561.60033;554.47929;549.49523;543.80043;532.73993;526.82554;533.44977;505.56654;513.61162;519.98278;523.48981;521.9206;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;LI;0.2051;0.23457;0.22779;0.21821;0.23084;0.24539;0.25996;0.23981;0.26885;0.26548;0.26453;0.26391;0.25371;0.24729;0.24786;0.25708;0.26003;0.24906;0.23655;0.23404;0.23034;0.2438;0.2367;0.23651;0.22903;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;LT;19.13891;19.25637;20.5403;20.64735;20.16294;19.31633;23.72004;24.66592;22.62309;22.30769;21.2159;20.45291;20.14257;19.74231;18.73885;20.40733;23.06408;22.2055;22.70567;21.62691;22.45869;23.75936;29.48748;49.15415;47.20923;;;;;
