Lieu	N° région, département	Série	Unité	Année	Valeur
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	7.97
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	8.1
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	1.16
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	2.03
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	15.07
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	6.88
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	26.17
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	11.86
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	14.86
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	36.84
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	16.68
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	14.88
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	38.729
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	39.259
ILE DE FRANCE	11	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	58.638
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	2.7
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	4.967
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	4.442
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	52.32
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	3.735
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	2.48
LANGUEDOC-ROUSSILLON	91	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	9.24
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	1.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
LIMOUSIN	74	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	1.6
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	15.0
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	1.0
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	44.0
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	3.02
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	309.276
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	280.63
LORRAINE	41	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	73.52
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	11.26
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	5.2
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	1.2
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	4.22
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	2.76
MIDI-PYRENEES	73	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	4.32
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	24.0
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	13.0
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	51.0
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	10.92
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	33.94
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	40.23
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	22.29
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	35.634
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	1523.596
NORD-PAS-DE-CALAIS	31	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	64.786
