Lieu;Département;Série;Unité;Année;Valeur
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;204.6
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;1546.7
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;747.5
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;1491.3
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;0.0
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;470.48
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
LIMOUSIN;74;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;200.646
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;15645.0
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;17616.0
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;20913.36
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;7477.0
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;11563.334
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;11051.67
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;8957.703
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;3577.218
LORRAINE;41;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;1343.624
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;1073.1
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;1241.0
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;1277.5
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;1200.0
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;1138.0
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;1251.0
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;1247.0
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;2700.0
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;2145.34
MIDI-PYRENEES;73;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;325.0
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;25538.16
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;62300.0
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;34873.0
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;39353.0
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;15900.4
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;10975.97
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;12312.04
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;11720.304
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;10120.689
NORD-PAS-DE-CALAIS;31;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;7449.201
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;2613.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;830.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;1149.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;0.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;900.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;213.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;415.0
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;1781.5
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;832.85
PAYS DE LA LOIRE;52;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;200.0
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;3262.0
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;2464.0
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;2271.0
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;12468.723
