Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
BASSE NORMANDIE	25	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	1235.0	1527.0	1448.0	1495.0	1582.0	1507.0	1670.0	1614.0	1665.0	1608.0	1644.0	1654.0
BASSE NORMANDIE	25	EN10dont consommation totale dans le résidentiel	ktep	933.0	1149.0	1069.0	1105.0	1132.0	1096.0	1181.0	1146.0	1193.0	1113.0	1147.0	1131.0
BASSE NORMANDIE	25	EN10dont consommation totale dans le tertiaire	ktep	303.0	378.0	379.0	390.0	450.0	410.0	489.0	468.0	472.0	495.0	497.0	523.0
BASSE NORMANDIE	25	EN10dont consommation totale hors chauffage urbain	ktep	1235.0	1527.0	1448.0	1495.0	1544.0	1485.0	1653.0	1598.0	1648.0	1592.0	1630.0	1640.0
BASSE NORMANDIE	25	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	19.0	4.0	ND	ND	ND	ND	ND	ND
BASSE NORMANDIE	25	EN10Consommation de produits pétroliers dans le RT	ktep	361.0	510.0	480.0	474.0	495.0	470.0	487.0	459.0	512.0	477.0	462.0	452.0
BASSE NORMANDIE	25	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	208.0	255.0	255.0	292.0	335.0	331.0	378.0	357.0	341.0	330.0	343.0	341.0
BASSE NORMANDIE	25	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	2696.0	3309.0	3312.0	3787.0	4352.0	4294.0	4909.0	4631.0	4428.0	4284.0	4457.0	4435.0
BASSE NORMANDIE	25	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	2512.0	3175.0	3125.0	3266.0	2763.0	2927.0	2875.0
BASSE NORMANDIE	25	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	1782.0	1734.0	1506.0	1163.0	1521.0	1530.0	1560.0
BASSE NORMANDIE	25	EN10Consommation d'électricité dans le RT	ktep	352.0	400.0	406.0	437.0	458.0	447.0	546.0	548.0	568.0	567.0	596.0	615.0
BASSE NORMANDIE	25	EN10Consommation d'électricité dans le RT	GWh	4097.0	4654.0	4719.0	5085.0	5329.0	5200.0	6354.0	6373.0	6609.0	6594.0	6930.0	7148.0
BASSE NORMANDIE	25	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	2643.0	3024.0	2979.0	3332.0	3349.0	3743.0	4005.0	3969.0	4064.0	3999.0	4297.0	4256.0
BASSE NORMANDIE	25	EN10dont électricité haute et basse tension dans le tertiaire	GWh	1454.0	1630.0	1740.0	1754.0	1979.0	2201.0	2349.0	2404.0	2545.0	2596.0	2633.0	2891.0
BASSE NORMANDIE	25	EN10dont électricité basse tension usages professionnels et divers	GWh	663.0	700.0	700.0	663.0	688.0	699.0	707.0	740.0	870.0	895.0	940.0	1163.0
BASSE NORMANDIE	25	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	182.0	192.0	146.0	116.0	128.0	117.0	123.0	125.0	121.0
BASSE NORMANDIE	25	EN10dont électricité haute tension dans le tertiaire	GWh	792.0	931.0	1040.0	1091.0	1291.0	1432.0	1526.0	1536.0	1558.0	1577.0	1569.0	1607.0
BASSE NORMANDIE	25	EN10Consommation de bois-énergie des ménages	ktep	314.0	362.0	307.0	292.0	275.0	242.0	242.0	234.0	227.0	218.0	228.0	232.0
BASSE NORMANDIE	25	EN10Consommation de chauffage urbain	ktep	ND	ND	ND	ND	20.0	17.0	17.0	17.0	17.0	16.0	14.0	14.0
BOURGOGNE	26	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	1599.0	1863.0	1783.0	1864.0	2050.0	1886.0	1989.0	1975.0	1928.0	1839.0	1865.0	1798.0
