Lieu;Département;Série;Unité;Année;Valeur
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;363.282
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;103.99
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;199.907
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;0.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;55.1
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;11.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;0.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;15.6
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;0.0
MIDI-PYRENEES;73;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;217.44
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;138.94
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;42.4
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;69.0
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;744.0
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;695.58
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;490.15
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;456.17
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;381.395
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;475.032
NORD-PAS-DE-CALAIS;31;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;498.399
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;72.0
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;280.0
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;158.0
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;78.0
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;330.9
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;252.38
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;158.57
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;131.65
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;94.41
PAYS DE LA LOIRE;52;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;92.711
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;0.0
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;25.7
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;23.4
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;91.9
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;19.1
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;18.7
PICARDIE;22;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;18.1
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;25.7
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;50.0
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;10.6
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;0.0
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;0.0
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;28.288
POITOU-CHARENTES;54;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;30.541
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;657.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;462.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;799.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;930.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;833.2
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;899.26
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;1313.726
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;555.41
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;1105.63
PROVENCE-ALPES-COTE D AZUR;93;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;430.167
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;326.66
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;265.7
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;171.08
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;208.52
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;298.82
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;209.764
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;167.096
RHONE-ALPES;82;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;161.57
