Lieu	N° région, département	Série	Unité	Année	Valeur
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	11.2
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	19.2
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	33.8
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	7.24
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	8.59
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	9.217
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
CORSE	94	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	ND
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	ND
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
D.O.M.	97	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	0.44
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	ND
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	ND
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	ND
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	ND
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	771.403
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	747.345
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	546.946
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	1383.944
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	4182.847
France entière		EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	10331.844
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	5.69
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
FRANCHE COMTE	43	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	0.825
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	7.0
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	11.0
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	22.9
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	37.6
