Lieu	N° région, département	Série	Unité	Année	Valeur
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	1.879
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	2.899
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.281
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.024
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.052
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.086
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.082
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.233
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.516
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.03
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.179
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	24.351
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.064
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.923
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.128
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.213
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.632
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.0
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	1.227
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.026
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.112
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	15.758
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2005	0.886
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	1.829
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.26
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.02
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.023
