pe_type,unit,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PE_1,T_AI,MT	: 	: 	: 	: 	: 	180 	136 	135 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,NL	: 	4709 	3980 	4181 	4176 	3230 	3582 	3628 	4470 	4564 	5127 	4356 	3624 	3990 	3883 	4007 	4192 	4281 	4140 	4052 	4147 	4070 	3575 	4363 	3958 	: 	: 	: 	: 
PE_1,T_AI,NO	: 	103 	99 	61 	225 	160 	150 	120 	54 	220 	265 	177 	140 	167 	157 	180 	149 	144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,PL	: 	4697 	5124 	4915 	3080 	1944 	3710 	2815 	2504 	2583 	2909 	3058 	2986 	2271 	2328 	1853 	1941 	1362 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,PT	12820 	11519 	11382 	12366 	12459 	12954 	13322 	11561 	10855 	11274 	10475 	9397 	9746 	9078 	7133 	6707 	3932 	6511 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,SE	: 	: 	222 	211 	221 	194 	202 	258 	238 	323 	300 	262 	253 	200 	369 	318 	516 	723 	643 	499 	679 	511 	1000 	639 	742 	535 	755 	648 	496 
PE_1,T_AI,SI	: 	: 	817 	968 	1142 	843 	825 	933 	843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,UK	: 	: 	5308 	5944 	5932 	4740 	4730 	4908 	4907 	6336 	6353 	6509 	6536 	6222 	6191 	6744 	6688 	7176 	6689 	7740 	7739 	6629 	6781 	6716 	6739 	6730 	: 	: 	: 
PE_2,T_AI,AT	: 	: 	: 	1466 	1533 	1435 	1459 	1436 	1609 	1659 	1603 	1601 	1536 	1607 	1549 	1873 	1859 	2167 	1945 	2577 	: 	: 	3053 	2648 	2428 	2415 	2051 	2182 	2196 
PE_2,T_AI,BE	: 	: 	: 	5556 	5066 	4865 	5022 	4908 	5188 	4475 	4965 	4543 	5953 	6240 	5775 	5560 	5120 	5091 	5213 	5264 	5145 	4855 	4629 	4617 	: 	5126 	: 	: 	4591 
PE_2,T_AI,DE	18626 	17147 	17015 	14699 	15922 	15351 	14328 	14942 	16610 	15825 	17269 	16485 	16541 	16065 	14834 	12696 	15696 	18979 	16970 	18892 	21754 	21520 	18630 	17390 	18840 	19311 	17741 	19468 	20567 
PE_2,T_AI,DK	2813 	2583 	2479 	2308 	2087 	2205 	2105 	2164 	1982 	1892 	2619 	2726 	2915 	3281 	2685 	2632 	2824 	2867 	3128 	3969 	3762 	3900 	3810 	4079 	4496 	4953 	4979 	4671 	: 
PE_2,T_AI,EE	: 	360 	350 	321 	285 	269 	277 	298 	275 	167 	167 	172 	84 	109 	132 	130 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,EL	: 	: 	: 	: 	: 	: 	: 	2650 	2331 	2318 	2303 	2116 	2717 	2131 	2370 	2305 	2130 	2080 	: 	3020 	2212 	1835 	2157 	3684 	2611 	: 	: 	: 	1689 
PE_2,T_AI,ES	: 	: 	: 	: 	: 	: 	: 	12138 	9942 	9066 	9413 	9153 	8652 	6326 	7298 	10579 	12003 	13747 	13395 	11508 	11628 	10034 	10822 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,EU15	: 	: 	: 	: 	: 	: 	: 	111833 	109486 	117766 	117854 	112984 	115884 	102995 	104318 	99322 	104566 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,FI	: 	: 	1274 	1077 	1174 	1339 	1278 	1120 	862 	790 	844 	734 	677 	791 	929 	843 	1007 	1375 	1580 	1700 	1429 	1599 	1532 	1566 	1685 	1686 	1546 	1712 	2099 
PE_2,T_AI,FR	: 	26808 	23068 	29209 	26104 	24502 	28780 	32122 	30845 	42462 	36439 	33576 	36052 	27416 	29923 	25982 	27281 	33713 	37429 	36189 	36073 	34215 	36121 	36320 	32300 	31160 	31236 	30552 	32604 
PE_2,T_AI,HU	4796 	4592 	4916 	4138 	4340 	4076 	3599 	3130 	2682 	2831 	2894 	2489 	3247 	3725 	4629 	5610 	7213 	9796 	11793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
