airpol,cpa08,induse,origin,unit,geo\time	2012 	2011 	2010 
CH4,CPA_A02,P53,ROW,T,EU28	0 	0 	0 
CH4,CPA_A02,P53,ROW,THS_T,EU28	0 	0 	0 
CH4,CPA_A02,P53,WORLD,T,EU28	0 	0 	0 
CH4,CPA_A02,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4,CPA_A02,P5M,DOM,T,EU28	1986 	4384 	2690 
CH4,CPA_A02,P5M,DOM,THS_T,EU28	1.986 	4.384 	2.69 
CH4,CPA_A02,P5M,ROW,T,EU28	543 	1364 	725 
CH4,CPA_A02,P5M,ROW,THS_T,EU28	0.543 	1.364 	0.725 
CH4,CPA_A02,P5M,WORLD,T,EU28	2529 	5748 	3415 
CH4,CPA_A02,P5M,WORLD,THS_T,EU28	2.529 	5.748 	3.415 
CH4,CPA_A02,P6,DOM,T,EU28	609 	625 	635 
CH4,CPA_A02,P6,DOM,THS_T,EU28	0.609 	0.625 	0.635 
CH4,CPA_A02,P6,ROW,T,EU28	171 	201 	172 
CH4,CPA_A02,P6,ROW,THS_T,EU28	0.171 	0.201 	0.172 
CH4,CPA_A02,P6,WORLD,T,EU28	780 	826 	807 
CH4,CPA_A02,P6,WORLD,THS_T,EU28	0.78 	0.826 	0.807 
CH4,CPA_A02,TFU,DOM,T,EU28	11012 	12926 	12291 
CH4,CPA_A02,TFU,DOM,THS_T,EU28	11.012 	12.926 	12.291 
CH4,CPA_A02,TFU,ROW,T,EU28	2910 	4102 	3358 
CH4,CPA_A02,TFU,ROW,THS_T,EU28	2.91 	4.102 	3.358 
CH4,CPA_A02,TFU,WORLD,T,EU28	13923 	17029 	15648 
CH4,CPA_A02,TFU,WORLD,THS_T,EU28	13.923 	17.029 	15.648 
CH4,CPA_A03,P3,DOM,T,EU28	7470 	6752 	6825 
CH4,CPA_A03,P3,DOM,THS_T,EU28	7.47 	6.752 	6.825 
CH4,CPA_A03,P3,ROW,T,EU28	7144 	7355 	6637 
CH4,CPA_A03,P3,ROW,THS_T,EU28	7.144 	7.355 	6.637 
CH4,CPA_A03,P3,WORLD,T,EU28	14614 	14107 	13462 
CH4,CPA_A03,P3,WORLD,THS_T,EU28	14.614 	14.107 	13.462 
CH4,CPA_A03,P3_S13,DOM,T,EU28	5 	4 	6 
CH4,CPA_A03,P3_S13,DOM,THS_T,EU28	0.005 	0.004 	0.006 
CH4,CPA_A03,P3_S13,ROW,T,EU28	4 	3 	4 
CH4,CPA_A03,P3_S13,ROW,THS_T,EU28	0.004 	0.003 	0.004 
CH4,CPA_A03,P3_S13,WORLD,T,EU28	9 	8 	10 
CH4,CPA_A03,P3_S13,WORLD,THS_T,EU28	0.009 	0.008 	0.01 
CH4,CPA_A03,P3_S14,DOM,T,EU28	7463 	6747 	6818 
CH4,CPA_A03,P3_S14,DOM,THS_T,EU28	7.463 	6.747 	6.818 
CH4,CPA_A03,P3_S14,ROW,T,EU28	7139 	7351 	6633 
CH4,CPA_A03,P3_S14,ROW,THS_T,EU28	7.139 	7.351 	6.633 
CH4,CPA_A03,P3_S14,WORLD,T,EU28	14602 	14099 	13451 
CH4,CPA_A03,P3_S14,WORLD,THS_T,EU28	14.602 	14.099 	13.451 
CH4,CPA_A03,P3_S15,DOM,T,EU28	1 	0 	0 
CH4,CPA_A03,P3_S15,DOM,THS_T,EU28	0.001 	0 	0 
CH4,CPA_A03,P3_S15,ROW,T,EU28	1 	0 	0 
CH4,CPA_A03,P3_S15,ROW,THS_T,EU28	0.001 	0 	0 
CH4,CPA_A03,P3_S15,WORLD,T,EU28	2 	0 	0 
CH4,CPA_A03,P3_S15,WORLD,THS_T,EU28	0.002 	0 	0 
CH4,CPA_A03,P5,DOM,T,EU28	-2000 	-93 	-8 
CH4,CPA_A03,P5,DOM,THS_T,EU28	-2 	-0.093 	-0.008 
CH4,CPA_A03,P5,ROW,T,EU28	-1329 	-32 	26 
CH4,CPA_A03,P5,ROW,THS_T,EU28	-1.329 	-0.032 	0.026 
CH4,CPA_A03,P5,WORLD,T,EU28	-3330 	-125 	18 
CH4,CPA_A03,P5,WORLD,THS_T,EU28	-3.33 	-0.125 	0.018 
CH4,CPA_A03,P51G,DOM,T,EU28	21 	24 	26 
CH4,CPA_A03,P51G,DOM,THS_T,EU28	0.021 	0.024 	0.026 
CH4,CPA_A03,P51G,ROW,T,EU28	32 	46 	47 
CH4,CPA_A03,P51G,ROW,THS_T,EU28	0.032 	0.046 	0.047 
CH4,CPA_A03,P51G,WORLD,T,EU28	53 	71 	72 
CH4,CPA_A03,P51G,WORLD,THS_T,EU28	0.053 	0.071 	0.072 
CH4,CPA_A03,P52,DOM,T,EU28	-224 	-118 	-34 
CH4,CPA_A03,P52,DOM,THS_T,EU28	-0.224 	-0.118 	-0.034 
CH4,CPA_A03,P52,ROW,T,EU28	-165 	-78 	-21 
CH4,CPA_A03,P52,ROW,THS_T,EU28	-0.165 	-0.078 	-0.021 
CH4,CPA_A03,P52,WORLD,T,EU28	-389 	-196 	-55 
CH4,CPA_A03,P52,WORLD,THS_T,EU28	-0.389 	-0.196 	-0.055 
CH4,CPA_A03,P53,DOM,T,EU28	-1797 	0 	0 
CH4,CPA_A03,P53,DOM,THS_T,EU28	-1.797 	0 	0 
CH4,CPA_A03,P53,ROW,T,EU28	-1196 	0 	0 
CH4,CPA_A03,P53,ROW,THS_T,EU28	-1.196 	0 	0 
CH4,CPA_A03,P53,WORLD,T,EU28	-2994 	0 	0 
CH4,CPA_A03,P53,WORLD,THS_T,EU28	-2.994 	0 	0 
CH4,CPA_A03,P5M,DOM,T,EU28	-2021 	-118 	-34 
CH4,CPA_A03,P5M,DOM,THS_T,EU28	-2.021 	-0.118 	-0.034 
CH4,CPA_A03,P5M,ROW,T,EU28	-1361 	-78 	-21 
CH4,CPA_A03,P5M,ROW,THS_T,EU28	-1.361 	-0.078 	-0.021 
CH4,CPA_A03,P5M,WORLD,T,EU28	-3382 	-196 	-55 
CH4,CPA_A03,P5M,WORLD,THS_T,EU28	-3.382 	-0.196 	-0.055 
CH4,CPA_A03,P6,DOM,T,EU28	470 	700 	569 
CH4,CPA_A03,P6,DOM,THS_T,EU28	0.47 	0.7 	0.569 
CH4,CPA_A03,P6,ROW,T,EU28	376 	585 	368 
CH4,CPA_A03,P6,ROW,THS_T,EU28	0.376 	0.585 	0.368 
CH4,CPA_A03,P6,WORLD,T,EU28	846 	1285 	936 
CH4,CPA_A03,P6,WORLD,THS_T,EU28	0.846 	1.285 	0.936 
CH4,CPA_A03,TFU,DOM,T,EU28	5940 	7359 	7385 
CH4,CPA_A03,TFU,DOM,THS_T,EU28	5.94 	7.359 	7.385 
CH4,CPA_A03,TFU,ROW,T,EU28	6191 	7908 	7030 
CH4,CPA_A03,TFU,ROW,THS_T,EU28	6.191 	7.908 	7.03 
CH4,CPA_A03,TFU,WORLD,T,EU28	12130 	15267 	14416 
CH4,CPA_A03,TFU,WORLD,THS_T,EU28	12.13 	15.267 	14.416 
CH4,CPA_B,P3,DOM,T,EU28	53181 	47345 	67687 
CH4,CPA_B,P3,DOM,THS_T,EU28	53.181 	47.345 	67.687 
CH4,CPA_B,P3,ROW,T,EU28	121299 	117525 	127044 
CH4,CPA_B,P3,ROW,THS_T,EU28	121.299 	117.525 	127.044 
CH4,CPA_B,P3,WORLD,T,EU28	174480 	164870 	194730 
CH4,CPA_B,P3,WORLD,THS_T,EU28	174.48 	164.87 	194.73 
CH4,CPA_B,P3_S13,DOM,T,EU28	1282 	1120 	1309 
CH4,CPA_B,P3_S13,DOM,THS_T,EU28	1.282 	1.12 	1.309 
CH4,CPA_B,P3_S13,ROW,T,EU28	1828 	2034 	1611 
CH4,CPA_B,P3_S13,ROW,THS_T,EU28	1.828 	2.034 	1.611 
CH4,CPA_B,P3_S13,WORLD,T,EU28	3110 	3154 	2920 
CH4,CPA_B,P3_S13,WORLD,THS_T,EU28	3.11 	3.154 	2.92 
CH4,CPA_B,P3_S14,DOM,T,EU28	51892 	46219 	66371 
CH4,CPA_B,P3_S14,DOM,THS_T,EU28	51.892 	46.219 	66.371 
CH4,CPA_B,P3_S14,ROW,T,EU28	119470 	115491 	125432 
CH4,CPA_B,P3_S14,ROW,THS_T,EU28	119.47 	115.491 	125.432 
CH4,CPA_B,P3_S14,WORLD,T,EU28	171362 	161709 	191803 
CH4,CPA_B,P3_S14,WORLD,THS_T,EU28	171.362 	161.709 	191.803 
CH4,CPA_B,P3_S15,DOM,T,EU28	7 	6 	7 
CH4,CPA_B,P3_S15,DOM,THS_T,EU28	0.007 	0.006 	0.007 
CH4,CPA_B,P3_S15,ROW,T,EU28	1 	1 	0 
CH4,CPA_B,P3_S15,ROW,THS_T,EU28	0.001 	0.001 	0 
CH4,CPA_B,P3_S15,WORLD,T,EU28	8 	7 	7 
CH4,CPA_B,P3_S15,WORLD,THS_T,EU28	0.008 	0.007 	0.007 
CH4,CPA_B,P5,DOM,T,EU28	-14093 	-3379 	3031 
CH4,CPA_B,P5,DOM,THS_T,EU28	-14.093 	-3.379 	3.031 
CH4,CPA_B,P5,ROW,T,EU28	43655 	49445 	44216 
CH4,CPA_B,P5,ROW,THS_T,EU28	43.655 	49.445 	44.216 
CH4,CPA_B,P5,WORLD,T,EU28	29562 	46066 	47247 
CH4,CPA_B,P5,WORLD,THS_T,EU28	29.562 	46.066 	47.247 
CH4,CPA_B,P51G,DOM,T,EU28	12367 	10259 	14006 
CH4,CPA_B,P51G,DOM,THS_T,EU28	12.367 	10.259 	14.006 
CH4,CPA_B,P51G,ROW,T,EU28	9344 	8144 	5581 
CH4,CPA_B,P51G,ROW,THS_T,EU28	9.344 	8.144 	5.581 
CH4,CPA_B,P51G,WORLD,T,EU28	21711 	18403 	19587 
CH4,CPA_B,P51G,WORLD,THS_T,EU28	21.711 	18.403 	19.587 
CH4,CPA_B,P52,DOM,T,EU28	-26460 	-13639 	-10975 
CH4,CPA_B,P52,DOM,THS_T,EU28	-26.46 	-13.639 	-10.975 
CH4,CPA_B,P52,ROW,T,EU28	34311 	41302 	38635 
CH4,CPA_B,P52,ROW,THS_T,EU28	34.311 	41.302 	38.635 
CH4,CPA_B,P52,WORLD,T,EU28	7850 	27663 	27660 
CH4,CPA_B,P52,WORLD,THS_T,EU28	7.85 	27.663 	27.66 
CH4,CPA_B,P53,DOM,T,EU28	0 	0 	0 
CH4,CPA_B,P53,DOM,THS_T,EU28	0 	0 	0 
CH4,CPA_B,P53,ROW,T,EU28	0 	0 	0 
CH4,CPA_B,P53,ROW,THS_T,EU28	0 	0 	0 
CH4,CPA_B,P53,WORLD,T,EU28	0 	0 	0 
CH4,CPA_B,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4,CPA_B,P5M,DOM,T,EU28	-26460 	-13639 	-10975 
CH4,CPA_B,P5M,DOM,THS_T,EU28	-26.46 	-13.639 	-10.975 
CH4,CPA_B,P5M,ROW,T,EU28	34311 	41302 	38635 
CH4,CPA_B,P5M,ROW,THS_T,EU28	34.311 	41.302 	38.635 
CH4,CPA_B,P5M,WORLD,T,EU28	7850 	27663 	27660 
CH4,CPA_B,P5M,WORLD,THS_T,EU28	7.85 	27.663 	27.66 
