airpol;cpa08;t_cols;origin;unit;geo\time;2011;2010;2009;2008
CH4;CPA_B;P52;ROW;THS_T;EU27;96.32;80.296;-2.666;3.889
CH4;CPA_B;P52;WORLD;T;EU27;69001;45296;-37680;51123
CH4;CPA_B;P52;WORLD;THS_T;EU27;69.001;45.296;-37.68;51.123
CH4;CPA_B;P52_P53;DOM;T;EU27;-27319;-34999;-35014;47234
CH4;CPA_B;P52_P53;DOM;THS_T;EU27;-27.319;-34.999;-35.014;47.234
CH4;CPA_B;P52_P53;ROW;T;EU27;96320;80296;-2666;3889
CH4;CPA_B;P52_P53;ROW;THS_T;EU27;96.32;80.296;-2.666;3.889
CH4;CPA_B;P52_P53;WORLD;T;EU27;69001;45296;-37680;51123
CH4;CPA_B;P52_P53;WORLD;THS_T;EU27;69.001;45.296;-37.68;51.123
CH4;CPA_B;P53;DOM;T;EU27;0;0;0;0
CH4;CPA_B;P53;DOM;THS_T;EU27;0;0;0;0
CH4;CPA_B;P53;ROW;T;EU27;0;0;0;0
CH4;CPA_B;P53;ROW;THS_T;EU27;0;0;0;0
CH4;CPA_B;P53;WORLD;T;EU27;0;0;0;0
CH4;CPA_B;P53;WORLD;THS_T;EU27;0;0;0;0
CH4;CPA_B;P6;DOM;T;EU27;127609;91113;151051;280088
CH4;CPA_B;P6;DOM;THS_T;EU27;127.609;91.113;151.051;280.088
CH4;CPA_B;P6;ROW;T;EU27;87158;61903;30062;68781
CH4;CPA_B;P6;ROW;THS_T;EU27;87.158;61.903;30.062;68.781
CH4;CPA_B;P6;WORLD;T;EU27;214767;153016;181114;348869
CH4;CPA_B;P6;WORLD;THS_T;EU27;214.767;153.016;181.114;348.869
CH4;CPA_B;P6_S22;DOM;T;EU27;127609;91113;151051;280088
CH4;CPA_B;P6_S22;DOM;THS_T;EU27;127.609;91.113;151.051;280.088
CH4;CPA_B;P6_S22;ROW;T;EU27;87158;61903;30062;68781
CH4;CPA_B;P6_S22;ROW;THS_T;EU27;87.158;61.903;30.062;68.781
CH4;CPA_B;P6_S22;WORLD;T;EU27;214767;153016;181114;348869
CH4;CPA_B;P6_S22;WORLD;THS_T;EU27;214.767;153.016;181.114;348.869
CH4;CPA_C10-C12;FINUBP;DOM;T;EU27;4026925;4180004;4356565;4314935
CH4;CPA_C10-C12;FINUBP;DOM;THS_T;EU27;4026.925;4180.004;4356.565;4314.935
CH4;CPA_C10-C12;FINUBP;ROW;T;EU27;1102415;938871;951902;1038813
CH4;CPA_C10-C12;FINUBP;ROW;THS_T;EU27;1102.415;938.871;951.902;1038.813
CH4;CPA_C10-C12;FINUBP;WORLD;T;EU27;5129340;5118875;5308467;5353749
CH4;CPA_C10-C12;FINUBP;WORLD;THS_T;EU27;5129.34;5118.875;5308.467;5353.749
CH4;CPA_C10-C12;P3;DOM;T;EU27;3584354;3770101;3903830;3699643
CH4;CPA_C10-C12;P3;DOM;THS_T;EU27;3584.354;3770.101;3903.83;3699.643
CH4;CPA_C10-C12;P3;ROW;T;EU27;998935;849182;864363;912892
CH4;CPA_C10-C12;P3;ROW;THS_T;EU27;998.935;849.182;864.363;912.892
CH4;CPA_C10-C12;P3;WORLD;T;EU27;4583290;4619283;4768193;4612534
CH4;CPA_C10-C12;P3;WORLD;THS_T;EU27;4583.29;4619.283;4768.193;4612.534
CH4;CPA_C10-C12;P3_S13;DOM;T;EU27;4575;4422;2904;3381
CH4;CPA_C10-C12;P3_S13;DOM;THS_T;EU27;4.575;4.422;2.904;3.381
CH4;CPA_C10-C12;P3_S13;ROW;T;EU27;1113;915;614;854
CH4;CPA_C10-C12;P3_S13;ROW;THS_T;EU27;1.113;0.915;0.614;0.854
CH4;CPA_C10-C12;P3_S13;WORLD;T;EU27;5688;5337;3519;4235
CH4;CPA_C10-C12;P3_S13;WORLD;THS_T;EU27;5.688;5.337;3.519;4.235
CH4;CPA_C10-C12;P3_S14;DOM;T;EU27;3579354;3765221;3900432;3695610
CH4;CPA_C10-C12;P3_S14;DOM;THS_T;EU27;3579.354;3765.221;3900.432;3695.61
CH4;CPA_C10-C12;P3_S14;ROW;T;EU27;997654;848053;863551;911798
CH4;CPA_C10-C12;P3_S14;ROW;THS_T;EU27;997.654;848.053;863.551;911.798
CH4;CPA_C10-C12;P3_S14;WORLD;T;EU27;4577008;4613275;4763983;4607407
CH4;CPA_C10-C12;P3_S14;WORLD;THS_T;EU27;4577.008;4613.275;4763.983;4607.407
CH4;CPA_C10-C12;P3_S15;DOM;T;EU27;426;458;494;652
CH4;CPA_C10-C12;P3_S15;DOM;THS_T;EU27;0.426;0.458;0.494;0.652
CH4;CPA_C10-C12;P3_S15;ROW;T;EU27;168;213;197;240
CH4;CPA_C10-C12;P3_S15;ROW;THS_T;EU27;0.168;0.213;0.197;0.24
CH4;CPA_C10-C12;P3_S15;WORLD;T;EU27;594;671;691;892
CH4;CPA_C10-C12;P3_S15;WORLD;THS_T;EU27;0.594;0.671;0.691;0.892
CH4;CPA_C10-C12;P5;DOM;T;EU27;-15792;-27381;17971;146543
CH4;CPA_C10-C12;P5;DOM;THS_T;EU27;-15.792;-27.381;17.971;146.543
CH4;CPA_C10-C12;P5;ROW;T;EU27;-4519;-4228;3767;27058
CH4;CPA_C10-C12;P5;ROW;THS_T;EU27;-4.519;-4.228;3.767;27.058
CH4;CPA_C10-C12;P5;WORLD;T;EU27;-20311;-31610;21737;173601
CH4;CPA_C10-C12;P5;WORLD;THS_T;EU27;-20.311;-31.61;21.737;173.601
CH4;CPA_C10-C12;P51;DOM;T;EU27;526;511;280;4
CH4;CPA_C10-C12;P51;DOM;THS_T;EU27;0.526;0.511;0.28;0.004
CH4;CPA_C10-C12;P51;ROW;T;EU27;105;89;55;1
CH4;CPA_C10-C12;P51;ROW;THS_T;EU27;0.105;0.089;0.055;0.001
CH4;CPA_C10-C12;P51;WORLD;T;EU27;631;600;335;6
CH4;CPA_C10-C12;P51;WORLD;THS_T;EU27;0.631;0.6;0.335;0.006
CH4;CPA_C10-C12;P52;DOM;T;EU27;-16318;-27892;17691;146538
CH4;CPA_C10-C12;P52;DOM;THS_T;EU27;-16.318;-27.892;17.691;146.538
CH4;CPA_C10-C12;P52;ROW;T;EU27;-4624;-4317;2867;25964
CH4;CPA_C10-C12;P52;ROW;THS_T;EU27;-4.624;-4.317;2.867;25.964
CH4;CPA_C10-C12;P52;WORLD;T;EU27;-20942;-32210;20557;172502
CH4;CPA_C10-C12;P52;WORLD;THS_T;EU27;-20.942;-32.21;20.557;172.502
CH4;CPA_C10-C12;P52_P53;DOM;T;EU27;-16318;-27892;17691;146538
CH4;CPA_C10-C12;P52_P53;DOM;THS_T;EU27;-16.318;-27.892;17.691;146.538
