airpol;cpa02;t_cols;origin;unit;geo\time;2007;2006;2005;2004;2003;2002;2001;2000 
CH4;CPA_B05;P3_P5;WORLD;T;EU27;10015;10205;11477;10731;11429;11262;11505;13113
CH4;CPA_B05;P3_P5;WORLD;THS_T;EU27;10.015;10.205;11.477;10.731;11.429;11.262;11.505;13.113
CH4;CPA_B05;P3_S13;DOM;T;EU27;2;1;2;2;2;2;2;3
CH4;CPA_B05;P3_S13;DOM;THS_T;EU27;0.002;0.001;0.002;0.002;0.002;0.002;0.002;0.003
CH4;CPA_B05;P3_S13;WORLD;T;EU27;4;3;4;3;3;4;3;5
CH4;CPA_B05;P3_S13;WORLD;THS_T;EU27;0.004;0.003;0.004;0.003;0.003;0.004;0.003;0.005
CH4;CPA_B05;P3_S14;DOM;T;EU27;5244;5525;6487;6350;6726;6824;6853;7828
CH4;CPA_B05;P3_S14;DOM;THS_T;EU27;5.244;5.525;6.487;6.35;6.726;6.824;6.853;7.828
CH4;CPA_B05;P3_S14;WORLD;T;EU27;9710;10105;11289;10504;11067;11044;11294;12801
CH4;CPA_B05;P3_S14;WORLD;THS_T;EU27;9.71;10.105;11.289;10.504;11.067;11.044;11.294;12.801
CH4;CPA_B05;P3_S15;DOM;T;EU27;0;0;0;0;2;1;1;2
CH4;CPA_B05;P3_S15;DOM;THS_T;EU27;0;0;0;0;0.002;0.001;0.001;0.002
CH4;CPA_B05;P3_S15;WORLD;T;EU27;0;1;0;0;2;2;2;3
CH4;CPA_B05;P3_S15;WORLD;THS_T;EU27;0;0.001;0;0;0.002;0.002;0.002;0.003
CH4;CPA_B05;P5;DOM;T;EU27;223;94;81;133;223;135;128;191
CH4;CPA_B05;P5;DOM;THS_T;EU27;0.223;0.094;0.081;0.133;0.223;0.135;0.128;0.191
CH4;CPA_B05;P5;WORLD;T;EU27;300;96;183;223;357;213;206;305
CH4;CPA_B05;P5;WORLD;THS_T;EU27;0.3;0.096;0.183;0.223;0.357;0.213;0.206;0.305
CH4;CPA_B05;P51;DOM;T;EU27;101;117;110;145;172;170;140;129
CH4;CPA_B05;P51;DOM;THS_T;EU27;0.101;0.117;0.11;0.145;0.172;0.17;0.14;0.129
CH4;CPA_B05;P51;WORLD;T;EU27;180;204;190;237;278;267;226;213
CH4;CPA_B05;P51;WORLD;THS_T;EU27;0.18;0.204;0.19;0.237;0.278;0.267;0.226;0.213
CH4;CPA_B05;P52;DOM;T;EU27;19;-78;-54;-30;8;-77;-50;25
CH4;CPA_B05;P52;DOM;THS_T;EU27;0.019;-0.078;-0.054;-0.03;0.008;-0.077;-0.05;0.025
CH4;CPA_B05;P52;WORLD;T;EU27;-36;-191;-45;-39;17;-114;-75;37
CH4;CPA_B05;P52;WORLD;THS_T;EU27;-0.036;-0.191;-0.045;-0.039;0.017;-0.114;-0.075;0.037
CH4;CPA_B05;P52_P53;DOM;T;EU27;122;-23;-29;-13;51;-35;-12;62
CH4;CPA_B05;P52_P53;DOM;THS_T;EU27;0.122;-0.023;-0.029;-0.013;0.051;-0.035;-0.012;0.062
CH4;CPA_B05;P52_P53;WORLD;T;EU27;121;-108;-7;-13;79;-54;-21;92
CH4;CPA_B05;P52_P53;WORLD;THS_T;EU27;0.121;-0.108;-0.007;-0.013;0.079;-0.054;-0.021;0.092
CH4;CPA_B05;P53;DOM;T;EU27;103;55;25;17;43;42;37;36
