indic_nv	unit	geo	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
FEC_HH	KTOE	FR10	:	:	:	:	:	:	:	:	:	7854.27	7741.52	7182.06	7754.58	8236.28
FEC_HH	KTOE	FR21	:	:	:	:	:	:	:	:	:	1172.04	921.04	1140.47	937.21	1003.01
FEC_HH	KTOE	FR22	:	:	:	:	:	:	:	:	:	1278.97	1290.76	1266.74	1305.2	1392.35
FEC_HH	KTOE	FR23	:	:	:	:	:	:	:	:	:	1244.87	1235.01	1219.54	1249.78	1333.78
FEC_HH	KTOE	FR24	:	:	:	:	:	:	:	:	:	1976.91	1706.48	2000.98	1719.39	1831.21
FEC_HH	KTOE	FR25	:	:	:	:	:	:	:	:	:	1180.76	991.15	1096.2	1000.44	1066.48
FEC_HH	KTOE	FR26	:	:	:	:	:	:	:	:	:	1417.28	1113.31	1368.69	1128.42	1205.41
FEC_HH	KTOE	FR30	:	:	:	:	:	:	:	:	:	3211.78	2753.56	2539.54	2794.53	2987.98
FEC_HH	KTOE	FR41	:	:	:	:	:	:	:	:	:	2294.22	1597.76	1943.96	1619.52	1730.15
FEC_HH	KTOE	FR42	:	:	:	:	:	:	:	:	:	1428.91	1222.41	1413.75	1226.5	1303.42
FEC_HH	KTOE	FR43	:	:	:	:	:	:	:	:	:	1001.82	780.32	898.17	786.92	838.21
FEC_HH	KTOE	FR51	:	:	:	:	:	:	:	:	:	2536.79	2299.55	2185.89	2292.03	2428.28
FEC_HH	KTOE	FR52	:	:	:	:	:	:	:	:	:	2143.17	2067.08	2012.94	:	2188.08
FEC_HH	KTOE	FR53	:	:	:	:	:	:	:	:	:	1280.84	1158.45	1322.87	1160.89	1233.48
FEC_HH	KTOE	FR61	:	:	:	:	:	:	:	:	:	2718	2077.16	2455.98	2069.4	2192.27
FEC_HH	KTOE	FR62	:	:	:	:	:	:	:	:	:	1818.88	1837.18	1810.05	1822.37	1926.97
