Lieu;Série;Unité;Année;Valeur
Aquitaine;Prix des Terres > 70 ares;€;2007;5 960
Auvergne;Prix des Terres > 70 ares;€;2007;4 360
Basse-Normandie;Prix des Terres > 70 ares;€;2007;5 140
Bourgogne;Prix des Terres > 70 ares;€;2007;2 950
Bretagne;Prix des Terres > 70 ares;€;2007;4 760
Centre;Prix des Terres > 70 ares;€;2007;4 270
Champagne-Ardenne;Prix des Terres > 70 ares;€;2007;5 140
Franche-Comté;Prix des Terres > 70 ares;€;2007;2 270
Haute-Normandie;Prix des Terres > 70 ares;€;2007;6 610
Ile-de-France;Prix des Terres > 70 ares;€;2007;5 280
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2007;5 000
Limousin;Prix des Terres > 70 ares;€;2007;3 280
Lorraine;Prix des Terres > 70 ares;€;2007;3 670
Midi-Pyrénées;Prix des Terres > 70 ares;€;2007;5 190
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2007;7 110
Pays de la Loire;Prix des Terres > 70 ares;€;2007;3 030
Picardie;Prix des Terres > 70 ares;€;2007;6 730
Poitou-Charentes;Prix des Terres > 70 ares;€;2007;3 640
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2007;10 400
Rhône-Alpes;Prix des Terres > 70 ares;€;2007;4 610
Alsace;Prix des Terres > 70 ares;€;2008;6 310
Aquitaine;Prix des Terres > 70 ares;€;2008;5 850
Auvergne;Prix des Terres > 70 ares;€;2008;4 470
Basse-Normandie;Prix des Terres > 70 ares;€;2008;5 580
Bourgogne;Prix des Terres > 70 ares;€;2008;3 060
Bretagne;Prix des Terres > 70 ares;€;2008;4 740
Centre;Prix des Terres > 70 ares;€;2008;4 680
Champagne-Ardenne;Prix des Terres > 70 ares;€;2008;5 760
Franche-Comté;Prix des Terres > 70 ares;€;2008;2 300
Haute-Normandie;Prix des Terres > 70 ares;€;2008;6 870
Ile-de-France;Prix des Terres > 70 ares;€;2008;6 880
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2008;5 150
Limousin;Prix des Terres > 70 ares;€;2008;3 150
Lorraine;Prix des Terres > 70 ares;€;2008;4 020
Midi-Pyrénées;Prix des Terres > 70 ares;€;2008;5 620
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2008;8 270
Pays de la Loire;Prix des Terres > 70 ares;€;2008;3 210
Picardie;Prix des Terres > 70 ares;€;2008;6 510
Poitou-Charentes;Prix des Terres > 70 ares;€;2008;3 710
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2008;11 760
Rhône-Alpes;Prix des Terres > 70 ares;€;2008;4 770
Alsace;Prix des Terres > 70 ares;€;2009;6 220
Aquitaine;Prix des Terres > 70 ares;€;2009;6 120
Auvergne;Prix des Terres > 70 ares;€;2009;4 220
Basse-Normandie;Prix des Terres > 70 ares;€;2009;5 730
Bourgogne;Prix des Terres > 70 ares;€;2009;2 900
Bretagne;Prix des Terres > 70 ares;€;2009;4 490
Centre;Prix des Terres > 70 ares;€;2009;4 490
Champagne-Ardenne;Prix des Terres > 70 ares;€;2009;5 740
Franche-Comté;Prix des Terres > 70 ares;€;2009;2 450
Haute-Normandie;Prix des Terres > 70 ares;€;2009;7 800
