Lieu;Département;Série;Unité;Année;Valeur
ALSACE;42;Sulfates;t/an;2006;43473.424
ALSACE;42;Sulfates;t/an;2007;13822.866
ALSACE;42;Sulfates;t/an;2008;13230.913
ALSACE;42;Sulfates;t/an;2009;5844.465
ALSACE;42;Titane;t/an;1999;0.0
ALSACE;42;Titane;t/an;2000;0.0
ALSACE;42;Titane;t/an;2001;0.0
ALSACE;42;Titane;t/an;2002;0.411
ALSACE;42;Titane;t/an;2004;0.0
ALSACE;42;Titane;t/an;2005;0.122
ALSACE;42;Titane;t/an;2006;0.0
ALSACE;42;Titane;t/an;2007;0.0
ALSACE;42;Titane;t/an;2008;0.0
ALSACE;42;Titane;t/an;2009;0.152
ALSACE;42;Zinc;t/an;1999;13.07
ALSACE;42;Zinc;t/an;2000;13.5
ALSACE;42;Zinc;t/an;2001;11.1
ALSACE;42;Zinc;t/an;2002;14.374
ALSACE;42;Zinc;t/an;2004;10.798
ALSACE;42;Zinc;t/an;2005;10.132
ALSACE;42;Zinc;t/an;2006;108.824
ALSACE;42;Zinc;t/an;2007;64.951
ALSACE;42;Zinc;t/an;2008;42.112
ALSACE;42;Zinc;t/an;2009;8.2
AQUITAINE;72;Aluminium;t/an;1999;0.0
AQUITAINE;72;Aluminium;t/an;2000;10.5
AQUITAINE;72;Aluminium;t/an;2001;9.5
AQUITAINE;72;Aluminium;t/an;2002;15.964
AQUITAINE;72;Aluminium;t/an;2004;24.966
AQUITAINE;72;Aluminium;t/an;2005;30.783
AQUITAINE;72;Aluminium;t/an;2006;22.07
AQUITAINE;72;Aluminium;t/an;2007;27.018
AQUITAINE;72;Aluminium;t/an;2008;123.485
AQUITAINE;72;Aluminium;t/an;2009;45.907
AQUITAINE;72;AOX OU EOX;t/an;1999;50.0
AQUITAINE;72;AOX OU EOX;t/an;2000;59.28
AQUITAINE;72;AOX OU EOX;t/an;2001;52.195
AQUITAINE;72;AOX OU EOX;t/an;2002;62.183
AQUITAINE;72;AOX OU EOX;t/an;2004;57.748
AQUITAINE;72;AOX OU EOX;t/an;2005;41.68
AQUITAINE;72;AOX OU EOX;t/an;2006;40.318
AQUITAINE;72;AOX OU EOX;t/an;2007;64.507
AQUITAINE;72;AOX OU EOX;t/an;2008;45.788
AQUITAINE;72;AOX OU EOX;t/an;2009;52.733
AQUITAINE;72;Arsenic;kg/an;1999;0.0
AQUITAINE;72;Arsenic;kg/an;2000;0.0
AQUITAINE;72;Arsenic;kg/an;2001;0.0
AQUITAINE;72;Arsenic;kg/an;2002;0.0
AQUITAINE;72;Arsenic;kg/an;2004;49.0
AQUITAINE;72;Arsenic;kg/an;2005;64.0
AQUITAINE;72;Arsenic;kg/an;2006;44.0
AQUITAINE;72;Arsenic;kg/an;2007;0.0
AQUITAINE;72;Arsenic;kg/an;2008;35.6
AQUITAINE;72;Arsenic;kg/an;2009;86.91
AQUITAINE;72;Azote (sauf épandage);t/an;1999;802.0
AQUITAINE;72;Azote (sauf épandage);t/an;2000;920.1
AQUITAINE;72;Azote (sauf épandage);t/an;2001;858.3
AQUITAINE;72;Azote (sauf épandage);t/an;2002;578.535
AQUITAINE;72;Azote (sauf épandage);t/an;2004;468.514
AQUITAINE;72;Azote (sauf épandage);t/an;2005;1018.679
AQUITAINE;72;Azote (sauf épandage);t/an;2006;924.269
AQUITAINE;72;Azote (sauf épandage);t/an;2007;4420.554
