nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	DE27D	:	11772	9600	10625	9640	8898	8804	8901
TOTAL	THS_T	DE27E	:	3769	4722	3848	5274	2652	3599	4779
TOTAL	THS_T	DE300	:	33350	31096	31651	30225	29088	29931	30630
TOTAL	THS_T	DE401	:	1957	:	:	:	:	:	:
TOTAL	THS_T	DE402	:	1083	:	:	:	:	:	:
TOTAL	THS_T	DE403	:	1309	:	:	:	:	:	:
TOTAL	THS_T	DE404	:	3059	:	:	:	:	:	:
TOTAL	THS_T	DE405	:	8993	:	:	:	:	:	:
TOTAL	THS_T	DE406	:	8375	:	:	:	:	:	:
TOTAL	THS_T	DE407	:	5768	:	:	:	:	:	:
TOTAL	THS_T	DE408	:	7146	:	:	:	:	:	:
TOTAL	THS_T	DE409	:	8868	:	:	:	:	:	:
TOTAL	THS_T	DE40A	:	8748	:	:	:	:	:	:
TOTAL	THS_T	DE40B	:	6533	:	:	:	:	:	:
TOTAL	THS_T	DE40C	:	7040	:	:	:	:	:	:
TOTAL	THS_T	DE40D	:	5573	:	:	:	:	:	:
TOTAL	THS_T	DE40E	:	9251	:	:	:	:	:	:
TOTAL	THS_T	DE40F	:	4023	:	:	:	:	:	:
TOTAL	THS_T	DE40G	:	5552	:	:	:	:	:	:
TOTAL	THS_T	DE40H	:	11779	:	:	:	:	:	:
TOTAL	THS_T	DE40I	:	7036	:	:	:	:	:	:
TOTAL	THS_T	DE411	:	:	1489	1262	2215	1792	1417	1678
TOTAL	THS_T	DE412	:	:	9940	10799	8762	8591	9140	9636
TOTAL	THS_T	DE413	:	:	8757	7872	8224	8138	7489	7717
TOTAL	THS_T	DE414	:	:	7671	7675	6781	6501	7178	5836
TOTAL	THS_T	DE415	:	:	6728	6512	6901	6097	6839	7611
TOTAL	THS_T	DE416	:	:	5800	5948	5768	4797	6108	6080
TOTAL	THS_T	DE417	:	:	2933	2272	2598	2563	2715	2869
TOTAL	THS_T	DE418	:	:	6223	9280	7683	6622	6993	7121
TOTAL	THS_T	DE421	:	:	1986	1843	1997	2050	2336	3333
TOTAL	THS_T	DE422	:	:	1295	1354	1832	1251	2160	2319
TOTAL	THS_T	DE423	:	:	3259	2839	3247	3116	2569	3208
TOTAL	THS_T	DE424	:	:	9043	9383	12070	10573	11480	11015
TOTAL	THS_T	DE425	:	:	5715	4249	6303	5464	4694	5668
TOTAL	THS_T	DE426	:	:	7445	6944	6239	5066	6085	6793
TOTAL	THS_T	DE427	:	:	6739	4624	8157	6653	8868	7356
