geo,unit,product,indic_en,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
DE,KTOE,coking_coal,primary_prod,21947.4,19929,18721,16368.1,16499.7,13064.8,11852.7,12440.7,11964.9,11522.3,10508.2,9082.8,9526.1,7310.3,6278.2,5641.7,5059.1,4374.8,3294.3,3282.5
DE,KTOE,other_bituminous_coal,primary_prod,16153.4,14330.6,14509.9,13112.5,12006.3,11099.2,7845.8,6434.3,5240,5787.4,6105.4,4806.5,4586.5,3722.7,2259.7,2204.3,2100.9,1769.5,738.1,774
DE,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,KTOE,lignite/brown_coal,primary_prod,40804.3,39609.6,37524,35417.5,34661.7,36435.6,38450.4,39470.3,39146.5,39611.1,38425.8,37956.9,38875.8,37652,36512.7,36657.9,38101.3,40029,39582.4,38637.6
DE,KTOE,total_coal,primary_prod,78905.1,73869.2,70754.9,64898.1,63167.7,60599.6,58148.9,58345.3,57698.6,58311.9,56458.1,53220.5,54365.4,50057.2,46384.6,45905.9,46697.3,47596.3,45054.8,44132.7
EL,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL,KTOE,lignite/brown_coal,primary_prod,7510.1,7189.2,7706.2,8126,8034.3,8221.6,8392,8582.1,8176,8546.8,8538,8170.3,8389.1,8129.5,8175.9,7315.4,7504.9,8044.7,6728.3,6384.2
EL,KTOE,total_coal,primary_prod,7510.1,7189.2,7706.2,8126,8034.3,8221.6,8392,8582.1,8176,8546.8,8538,8170.3,8389.1,8129.5,8175.9,7315.4,7504.9,8044.7,6728.3,6384.2
HU,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,KTOE,lignite/brown_coal,primary_prod,3265.7,3333.7,3481.6,3158.3,2950.5,2892.9,2663.6,2683,2708.6,2182.2,1748.1,1756.6,1772.8,1693.6,1556,1593.3,1645.4,1606.5,1611.7,1588
HU,KTOE,total_coal,primary_prod,3265.7,3333.7,3481.6,3158.3,2950.5,2892.9,2663.6,2683,2708.6,2182.2,1748.1,1756.6,1772.8,1693.6,1556,1593.3,1645.4,1606.5,1611.7,1588
IS,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,KTOE,other_bituminous_coal,primary_prod,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,KTOE,total_coal,primary_prod,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,88.3,103.5,158.8,62.2,60.3,13.3,100.3,74.3,45.7,64.1,58.4,50.8,46.4,54.6
IT,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,KTOE,lignite/brown_coal,primary_prod,43,34.2,54,47.2,28.7,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,KTOE,total_coal,primary_prod,43,34.2,54,47.2,28.7,3.5,88.3,103.5,158.8,62.2,60.3,13.3,100.3,74.3,45.7,64.1,58.4,50.8,46.4,54.6
LV,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,KTOE,anthracite,primary_prod,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:
MT,KTOE,coking_coal,primary_prod,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:
MT,KTOE,other_bituminous_coal,primary_prod,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:
MT,KTOE,Sub-bituminous Coal,primary_prod,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:
MT,KTOE,lignite/brown_coal,primary_prod,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:
MT,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,286.9,330.4,265.9,382.8,210.5,426.3,434,392.9,372.2,364.1
MO,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,286.9,330.4,265.9,382.8,210.5,426.3,434,392.9,372.2,364.1
NL,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,KTOE,other_bituminous_coal,primary_prod,196,154.4,259.1,220.1,271.1,424.2,1200,1430.9,1975.9,1949,987.3,1607.4,2733.6,2302.1,1772.5,1298.7,930.2,824.9,1245,1124.2
NO,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,KTOE,total_coal,primary_prod,196,154.4,259.1,220.1,271.1,424.2,1200,1430.9,1975.9,1949,987.3,1607.4,2733.6,2302.1,1772.5,1298.7,930.2,824.9,1245,1124.2
PL,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,KTOE,coking_coal,primary_prod,20197.5,16942.8,18622.5,15475.9,14882.5,12068.7,11996.5,11135.3,11342.4,11639.5,9948,10282,9603,8489.3,6037.6,8216.1,8080.2,8326.3,8571.9,8681.5
PL,KTOE,other_bituminous_coal,primary_prod,57465.3,60306,60102.1,50902.8,48247.5,46499.9,46825.7,47402,46465,44240.8,45736.1,44230.2,40454.7,39319.2,37877.4,35301.8,34667.3,36446.7,35146,32523.5
PL,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
